,user_id,offer_id,received_time,received_id,viewed_time,viewed_id,completed_time,completed_id,duration_in_hours,event_x,event_y,time,time_to_view
0,24f56b5e1849462093931b164eb803b5,fafdcd668e3743c1bb461111dcafc2a4,504,63481,510,42175,714,33181,240.0,offer viewed,offer received,510.0,6.0
1,8d501b5bda454c188e837579f8a1c50d,2298d6c36e964ae4a3e7e9706d1fb8c2,576,67812,594,52622,714,33118,168.0,offer viewed,offer received,594.0,18.0
2,25417089cb08467a94811abf01e1796f,fafdcd668e3743c1bb461111dcafc2a4,576,67152,588,51459,714,33108,240.0,offer viewed,offer received,588.0,12.0
3,cfac8da70c354615b747646d234a1885,fafdcd668e3743c1bb461111dcafc2a4,576,67267,600,53434,714,33109,240.0,offer viewed,offer received,600.0,24.0
4,4a5960fb3b054de39299788f537162d9,2298d6c36e964ae4a3e7e9706d1fb8c2,576,67282,576,48071,714,33110,168.0,offer viewed,offer received,576.0,0.0
5,7442737db478422b8db9f223f2c1ddd0,ae264e3637204a6fb9bb56bc8210ddfd,576,67295,618,55174,714,33111,168.0,offer viewed,offer received,618.0,42.0
6,172078490b5d4027add9d498e5a8db95,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,67393,594,52587,714,33112,240.0,offer viewed,offer received,594.0,18.0
7,61a90cab1e9a48e79734e2ec652c65a0,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,75518,684,57337,714,33113,240.0,offer viewed,offer received,684.0,108.0
8,df72761941ab427b9c8878508ad5814e,2298d6c36e964ae4a3e7e9706d1fb8c2,576,67513,594,52594,714,33114,168.0,offer viewed,offer received,594.0,18.0
9,ec70faa2792f4ee19d67dca4957d285f,2298d6c36e964ae4a3e7e9706d1fb8c2,576,72964,576,48126,714,33115,168.0,offer viewed,offer received,576.0,0.0
10,fe945f721a16479fa241628d96213062,fafdcd668e3743c1bb461111dcafc2a4,576,69508,636,56095,714,33116,240.0,offer viewed,offer received,636.0,60.0
11,6d93d0f88895420d8dfdca9ff5390bce,fafdcd668e3743c1bb461111dcafc2a4,504,55134,540,45684,714,33119,240.0,offer viewed,offer received,540.0,36.0
12,ccc4d0442c45440bacce6b03350cf52a,2906b810c7d4411798c6938adc9daaa5,576,67974,594,52632,714,33120,168.0,offer viewed,offer received,594.0,18.0
13,b8d0a7b8dfcf46e6ab8a3f4f995a28a4,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,70707,600,53496,714,33121,168.0,offer viewed,offer received,600.0,24.0
14,f428ef84305247ce98d2f7a59a70cc90,2298d6c36e964ae4a3e7e9706d1fb8c2,576,68356,576,48258,714,33122,168.0,offer viewed,offer received,576.0,0.0
15,50b72821aa1a459698ad47ff4058c1ed,2298d6c36e964ae4a3e7e9706d1fb8c2,576,75598,594,52672,714,33123,168.0,offer viewed,offer received,594.0,18.0
16,5b2b9990e9274efa8332626ef7d0220b,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,55985,534,45182,714,33124,240.0,offer viewed,offer received,534.0,30.0
17,6379bef5386544d1807046390f445653,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,68908,618,55216,714,33125,168.0,offer viewed,offer received,618.0,42.0
18,f82d0dd16175415a83dfa4fecdb7c792,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,69066,690,57431,714,33126,240.0,offer viewed,offer received,690.0,114.0
19,e00e39e41bf64361a81f0c82da3c3ead,2906b810c7d4411798c6938adc9daaa5,576,69384,690,57434,714,33128,168.0,offer viewed,offer received,690.0,114.0
20,a1e7e694b7e848b89cbc9687dc38d793,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,66810,594,52549,714,33106,168.0,offer viewed,offer received,594.0,18.0
21,0222d267445f4f078bc325224e471766,fafdcd668e3743c1bb461111dcafc2a4,504,53985,534,45095,714,33104,240.0,offer viewed,offer received,534.0,30.0
22,279318c88a9e451084f9c59a827f21a7,2298d6c36e964ae4a3e7e9706d1fb8c2,576,70063,582,50363,714,33131,168.0,offer viewed,offer received,582.0,6.0
23,ad18ad432f5a40c7b8ccce4be4fb530c,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,69276,594,52389,714,33091,240.0,offer viewed,offer received,594.0,18.0
24,49f22e86d2db41878778d70958dc744e,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,63614,594,52316,714,33081,240.0,offer viewed,offer received,594.0,18.0
25,ec5800ee8ae040708487b6473b1fbefc,2298d6c36e964ae4a3e7e9706d1fb8c2,576,63886,636,56007,714,33083,168.0,offer viewed,offer received,636.0,60.0
26,421260f3c6cf49018be314fa93446ff9,ae264e3637204a6fb9bb56bc8210ddfd,576,63938,594,52339,714,33085,168.0,offer viewed,offer received,594.0,18.0
27,21eef0356f42406c9e70c5e1c03ab378,2906b810c7d4411798c6938adc9daaa5,576,63989,672,57073,714,33087,168.0,offer viewed,offer received,672.0,96.0
28,f0eafd499d9c42a991e89d34a0eec489,2906b810c7d4411798c6938adc9daaa5,576,63998,690,57402,714,33088,168.0,offer viewed,offer received,690.0,114.0
29,1418e71469474b7fa160cd76b198cb08,2906b810c7d4411798c6938adc9daaa5,576,64150,612,54567,714,33089,168.0,offer viewed,offer received,612.0,36.0
