,user_id,offer_id,received_time,received_id,completed_time,completed_id,duration_in_hours,event,time
0,f3e801caeafe4899b3b989b586e74ac7,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,62720,714,33175,240.0,offer received,504.0
1,71c3efbfee2a40808e98911ae6d08df3,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,71263,714,33138,168.0,offer received,576.0
2,a1ad0bbe76f8403786baa50ff845bc42,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,63698,714,33082,240.0,offer received,576.0
3,93534b7c68e44474a67b2c41fe95ecaa,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,63894,714,33084,168.0,offer received,576.0
4,7eb42a9d454c4cb8b18d363026192959,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,64238,714,33090,168.0,offer received,576.0
5,0222d267445f4f078bc325224e471766,2906b810c7d4411798c6938adc9daaa5,576,66680,714,33105,168.0,offer received,576.0
6,35faf6c136ac4eff95cb298191d4dcbe,2906b810c7d4411798c6938adc9daaa5,576,67728,714,33117,168.0,offer received,576.0
7,e00e39e41bf64361a81f0c82da3c3ead,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,56678,714,33127,240.0,offer received,504.0
8,b6ef8b6a987c48d5ac80630932600492,fafdcd668e3743c1bb461111dcafc2a4,576,69521,714,33129,240.0,offer received,576.0
9,73d249175a594096b82528817cb483db,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,66722,714,33135,168.0,offer received,576.0
10,7ec5285f77754736a3a5720efae7a5ed,2906b810c7d4411798c6938adc9daaa5,576,71051,714,33136,168.0,offer received,576.0
11,532638c9f8d942a5bb39688d2f8bac20,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,63940,714,33086,240.0,offer received,576.0
12,a94178cd671648eeb9dc60dc8a972dff,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,72093,714,33141,240.0,offer received,576.0
13,b73c8d5fe3c84a79bb3432387f0f4fb5,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,74139,714,33162,168.0,offer received,576.0
14,92a6eba09c12481bbe35312855cae95e,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,73492,714,33142,240.0,offer received,576.0
15,84ad352984b04b73b6dbff8d719de321,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,75314,714,33174,168.0,offer received,576.0
16,0dc85918181e4c3eb0e412d37fa8a552,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,63218,714,33167,240.0,offer received,504.0
17,0355c6a5fdbc429ea5b05e8a9ecd2eae,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,75212,714,33172,168.0,offer received,576.0
18,3a17105cc12e4fc9aabc7c324835ba9c,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,73136,714,33154,168.0,offer received,576.0
19,5cb65af515664bb0b39cdaa089244dc7,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,60336,714,33152,240.0,offer received,504.0
20,ab4b4416434b4f6e803b39ed5fe01a27,2906b810c7d4411798c6938adc9daaa5,576,72810,714,33147,168.0,offer received,576.0
21,cba7152af9af4f3f95b6a3e4d942cd61,ae264e3637204a6fb9bb56bc8210ddfd,576,72429,714,33145,168.0,offer received,576.0
22,66ad7d1394f24c789a3ea768727bf07b,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,66561,708,33027,240.0,offer received,576.0
23,1e8afbff73494145a26f9b5475dfc9f6,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,54924,708,33002,240.0,offer received,504.0
24,23fe1476e9154136b5b55eed413743a6,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,69390,708,33023,168.0,offer received,576.0
25,42d9221a82654037aedacd9ea24dd709,2906b810c7d4411798c6938adc9daaa5,576,69348,708,33022,168.0,offer received,576.0
26,42ee9df85c43446b99f37a7ee3296c5f,2906b810c7d4411798c6938adc9daaa5,576,72796,708,33017,168.0,offer received,576.0
27,e590c974d8274f89a02fecaa11b6670b,2906b810c7d4411798c6938adc9daaa5,576,66424,708,33013,168.0,offer received,576.0
28,981097a0c3a04335a77b9727d29e9bc1,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,68408,708,33006,240.0,offer received,576.0
29,ba82e615c0bb412da2b5ed5d46148b09,ae264e3637204a6fb9bb56bc8210ddfd,576,72569,708,33004,168.0,offer received,576.0
30,2c2d6fcf6ba84ae78cd3b145107a486f,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,73155,708,32995,240.0,offer received,576.0
31,acce25c39cfe46d6b308006d958c6252,2906b810c7d4411798c6938adc9daaa5,576,67480,708,33000,168.0,offer received,576.0
32,0ac4cc504d9047d3aac00d5c8417f784,2906b810c7d4411798c6938adc9daaa5,576,67416,708,32999,168.0,offer received,576.0
33,ba3395366d96453981bc7a738ebc2ead,2906b810c7d4411798c6938adc9daaa5,576,66527,708,32997,168.0,offer received,576.0
34,a0c665be4a3d4240ba24e427776535cf,ae264e3637204a6fb9bb56bc8210ddfd,576,66492,708,32996,168.0,offer received,576.0
35,0d71469761604d3688ca099ff09a403f,2906b810c7d4411798c6938adc9daaa5,576,65508,708,32993,168.0,offer received,576.0
36,59e2cdcdc01841a9a2311df5e3cc4937,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,65170,708,32989,240.0,offer received,576.0
37,0c0af42e1e804ded94eb5d73dfffbb6f,2906b810c7d4411798c6938adc9daaa5,576,64053,708,32983,168.0,offer received,576.0
38,ffac285a64714aca8efd8d61a5606e84,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,73033,708,33034,168.0,offer received,576.0
39,212bda8c6fce4258b64f62bd28006e42,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,57415,708,33033,240.0,offer received,504.0
40,6f6778a3d3ac40b1bc13893c226a3f97,2906b810c7d4411798c6938adc9daaa5,576,72385,708,33051,168.0,offer received,576.0
41,f58fcb6b2a0e40cc8bae89923af11b33,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,70856,708,33037,168.0,offer received,576.0
42,ba95c8b450ba4740bd815048c5045307,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,72986,708,33059,240.0,offer received,576.0
43,86fe51a6a415402f879ce912fc678f1e,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,74071,708,33078,168.0,offer received,576.0
44,69addd8913974e6eae56b6e789acf2ca,fafdcd668e3743c1bb461111dcafc2a4,504,58410,708,33039,240.0,offer received,504.0
45,655f294ab8154d3ebffaa801f241271c,fafdcd668e3743c1bb461111dcafc2a4,504,62180,708,33067,240.0,offer received,504.0
46,fe5310fade5f45da938210ffef4609b7,2906b810c7d4411798c6938adc9daaa5,576,74717,708,33066,168.0,offer received,576.0
47,afc9a6447a1249a596f01c6409bbb8d6,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,61543,708,33065,240.0,offer received,504.0
48,0973a73fb67147e09659b92bc511eb78,2906b810c7d4411798c6938adc9daaa5,576,69386,708,33064,168.0,offer received,576.0
49,fb069eb2673b44d98520951eddda77e1,9b98b8c7a33c4b65b9aebfe6a799e6d9,576,73148,708,33061,168.0,offer received,576.0
50,18eb8fa6fd8a4416a62569f5e16709e5,ae264e3637204a6fb9bb56bc8210ddfd,576,71055,708,33071,168.0,offer received,576.0
51,1da6a18e01c643d0bd7fa6cfbc645b41,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,60025,708,33056,240.0,offer received,504.0
52,231e1e33467647bbba31f6ba36d88541,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,59953,708,33053,240.0,offer received,504.0
53,3b9ec536e4224688950913b9cf53362c,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,59907,708,33052,240.0,offer received,504.0
54,22bf244c38734ce38a6e8d99499bc504,0b1e1539f2cc45b7b9fa7c272da2e1d7,576,72367,708,33050,240.0,offer received,576.0
55,db88c27ccf9b42abbab82f341093ed56,2906b810c7d4411798c6938adc9daaa5,576,72334,708,33048,168.0,offer received,576.0
56,2ac49dfdf85e40e38185b5e62744bd86,0b1e1539f2cc45b7b9fa7c272da2e1d7,504,59990,708,33054,240.0,offer received,504.0
